variant,attack_type,poison_rate,detector,n_docs,n_poisoned_true,n_flagged,precision,recall,f1,roc_auc,threshold,notes
factual_0.1,factual_swap,0.1,isolation_forest,1000,100,0,0.0,0.0,0.0,0.5467,auto,
factual_0.1,factual_swap,0.1,lof,1000,100,0,0.0,0.0,0.0,0.5476,auto,
factual_0.2,factual_swap,0.2,isolation_forest,1000,200,0,0.0,0.0,0.0,0.4954,auto,
factual_0.2,factual_swap,0.2,lof,1000,200,0,0.0,0.0,0.0,0.5274,auto,
factual_0.3,factual_swap,0.3,isolation_forest,1000,300,0,0.0,0.0,0.0,0.4868,auto,
factual_0.3,factual_swap,0.3,lof,1000,300,0,0.0,0.0,0.0,0.4999,auto,
semantic_0.1,semantic_distortion,0.1,isolation_forest,1000,100,0,0.0,0.0,0.0,0.5038,auto,
semantic_0.1,semantic_distortion,0.1,lof,1000,100,0,0.0,0.0,0.0,0.5484,auto,
semantic_0.3,semantic_distortion,0.3,isolation_forest,1000,300,0,0.0,0.0,0.0,0.4686,auto,
semantic_0.3,semantic_distortion,0.3,lof,1000,300,0,0.0,0.0,0.0,0.5012,auto,
factual_0.1,factual_swap,0.1,neural_classifier,300,30,300,0.1,1.0,0.1818,0.4514,0.05,best_epoch=3 best_val_loss=1.2184
factual_0.2,factual_swap,0.2,neural_classifier,300,60,300,0.2,1.0,0.3333,0.5768,0.05,best_epoch=1 best_val_loss=1.1097
factual_0.3,factual_swap,0.3,neural_classifier,300,90,300,0.3,1.0,0.4615,0.5593,0.05,best_epoch=2 best_val_loss=0.9680
semantic_0.1,semantic_distortion,0.1,neural_classifier,300,30,300,0.1,1.0,0.1818,0.5,0.05,best_epoch=4 best_val_loss=1.2160
semantic_0.3,semantic_distortion,0.3,neural_classifier,300,90,296,0.3041,1.0,0.4663,0.581,0.50,best_epoch=2 best_val_loss=0.9665
factual_0.1,factual_swap,0.1,perplexity,1000,100,100,0.15,0.15,0.15,0.5848,top10pct@ppl>=41.15,model=gpt2
factual_0.2,factual_swap,0.2,perplexity,1000,200,200,0.25,0.25,0.25,0.531,top20pct@ppl>=36.24,model=gpt2
factual_0.3,factual_swap,0.3,perplexity,1000,300,300,0.3,0.3,0.3,0.5062,top30pct@ppl>=33.03,model=gpt2
semantic_0.1,semantic_distortion,0.1,perplexity,1000,100,100,0.17,0.17,0.17,0.6001,top10pct@ppl>=41.34,model=gpt2
semantic_0.3,semantic_distortion,0.3,perplexity,1000,300,300,0.2967,0.2967,0.2967,0.5233,top30pct@ppl>=33.02,model=gpt2
factual_0.1,factual_swap,0.1,llm_judge,100,10,3,0.3333,0.1,0.1538,,yes/no,model=llama3.1:8b n=100 failures=0
factual_0.2,factual_swap,0.2,llm_judge,100,20,3,0.3333,0.05,0.087,,yes/no,model=llama3.1:8b n=100 failures=0
factual_0.3,factual_swap,0.3,llm_judge,100,30,1,0.0,0.0,0.0,,yes/no,model=llama3.1:8b n=100 failures=0
semantic_0.1,semantic_distortion,0.1,llm_judge,100,10,3,0.3333,0.1,0.1538,,yes/no,model=llama3.1:8b n=100 failures=0
semantic_0.3,semantic_distortion,0.3,llm_judge,100,30,1,0.0,0.0,0.0,,yes/no,model=llama3.1:8b n=100 failures=0
